,0
Earl of Squirrel,13
Mountain,7
Air Elemental,6
Animate Artifact,6
Animate Dead,6
Animate Wall,6
Ankh of Mishra,6
Armageddon,6
Aspect of Wolf,6
Badlands,6
Bad Moon,6
Balance,6
Basalt Monolith,6
Bayou,6
Benalish Hero,6
Birds of Paradise,6
Black Knight,6
Black Vise,6
Black Ward,6
Blessing,6
Blue Elemental Blast,6
Blue Ward,6
Bog Wraith,6
Braingeyser,6
Burrowing,6
Castle,6
Celestial Prism,6
Channel,6
Chaoslace,6
Circle of Protection: Blue,6
Circle of Protection: Green,6
Circle of Protection: Red,6
Circle of Protection: White,6
Clockwork Beast,6
Clone,6
Cockatrice,6
Conservator,6
Contract from Below,6
Control Magic,6
Conversion,6
Copy Artifact,6
Counterspell,6
Craw Wurm,6
Creature Bond,6
Crusade,6
Crystal Rod,6
Cursed Land,6
Darkpact,6
Dark Ritual,6
Deathgrip,6
Deathlace,6
Death Ward,6
Demonic Attorney,6
Demonic Hordes,6
Demonic Tutor,6
Dingus Egg,6
Disenchant,6
Disintegrate,6
Disrupting Scepter,6
Dragon Whelp,6
Drain Life,6
Drain Power,6
Drudge Skeletons,6
Dwarven Warriors,6
Earthbind,6
Earth Elemental,6
Earthquake,6
Elvish Archers,6
Evil Presence,6
Farmstead,6
Fastbond,6
Fear,6
Feedback,6
Fireball,6
Firebreathing,6
Fire Elemental,6
Flashfires,6
Flight,6
Fog,6
Force of Nature,6
Forest,6
Fork,6
Frozen Shade,6
Fungusaur,6
Gaea's Liege,6
Giant Growth,6
Giant Spider,6
Glasses of Urza,6
Gloom,6
Goblin Balloon Brigade,6
Goblin King,6
Granite Gargoyle,6
Gray Ogre,6
Green Ward,6
Grizzly Bears,6
Guardian Angel,6
Healing Salve,6
Helm of Chatzuk,6
Hill Giant,6
Holy Armor,6
Holy Strength,6
Howl from Beyond,6
Howling Mine,6
Hurloon Minotaur,6
Hurricane,6
Hypnotic Specter,6
Instill Energy,6
Ironroot Treefolk,6
Iron Star,6
Island,6
Island Sanctuary,6
Ivory Cup,6
Jade Monolith,6
Jayemdae Tome,6
Juggernaut,6
Jump,6
Karma,6
Keldon Warlord,6
Kormus Bell,6
Kudzu,6
Lance,6
Ley Druid,6
Library of Leng,6
Lifeforce,6
Lifelace,6
Lifetap,6
Lightning Bolt,6
Living Artifact,6
Living Lands,6
Living Wall,6
Llanowar Elves,6
Lord of Atlantis,6
Lord of the Pit,6
Lure,6
Magical Hack,6
Mahamoti Djinn,6
Manabarbs,6
Mana Flare,6
Mana Short,6
Mana Vault,6
Meekstone,6
Merfolk of the Pearl Trident,6
Mesa Pegasus,6
Mind Twist,6
Mons's Goblin Raiders,6
Nether Shadow,6
Nettling Imp,6
Circle of Protection: Black,5
Aladdin's Lamp,4
Aladdin's Ring,4
Bottle of Suleiman,4
Brass Man,4
Dancing Scimitar,4
Desert Twister,4
Ebony Horse,4
