,0
Earl of Squirrel,49
Forest,21
Island,19
Mountain,19
Dark Ritual,16
Disenchant,16
Fireball,14
Circle of Protection: Red,13
Counterspell,13
Armageddon,12
Bog Wraith,12
Healing Salve,12
Hurricane,12
Circle of Protection: Black,12
Plains,12
Circle of Protection: Blue,11
Circle of Protection: Green,11
Circle of Protection: White,11
Clockwork Beast,11
Cursed Land,11
Disintegrate,11
Earthquake,11
Elvish Archers,11
Feedback,11
Giant Growth,11
Giant Spider,11
Glasses of Urza,11
Grizzly Bears,11
Hill Giant,11
Air Elemental,10
Black Knight,10
Death Ward,10
Drain Life,10
Fear,10
Firebreathing,10
Flashfires,10
Fog,10
Goblin King,10
Jayemdae Tome,10
Swamp,10
Animate Dead,9
Animate Wall,9
Ankh of Mishra,9
Aspect of Wolf,9
Bad Moon,9
Benalish Hero,9
Birds of Paradise,9
Blue Elemental Blast,9
Castle,9
Cockatrice,9
Craw Wurm,9
Crusade,9
Crystal Rod,9
Deathgrip,9
Dingus Egg,9
Disrupting Scepter,9
Drain Power,9
Drudge Skeletons,9
Dwarven Warriors,9
Evil Presence,9
Flight,9
Force of Nature,9
Frozen Shade,9
Fungusaur,9
Gloom,9
Goblin Balloon Brigade,9
Howl from Beyond,9
Hypnotic Specter,9
Ironclaw Orcs,9
Merfolk of the Pearl Trident,9
Energy Flux,9
Animate Artifact,8
Balance,8
Black Vise,8
Black Ward,8
Blessing,8
Blue Ward,8
Burrowing,8
Celestial Prism,8
Channel,8
Chaoslace,8
Conservator,8
Control Magic,8
Conversion,8
Creature Bond,8
Deathlace,8
Dragon Whelp,8
Earth Elemental,8
Fire Elemental,8
Gaea's Liege,8
Gray Ogre,8
Green Ward,8
Helm of Chatzuk,8
Holy Armor,8
Holy Strength,8
Howling Mine,8
Hurloon Minotaur,8
Instill Energy,8
Ironroot Treefolk,8
Iron Star,8
Island Sanctuary,8
Ivory Cup,8
Jade Monolith,8
Jump,8
Lightning Bolt,8
Mesa Pegasus,8
Mons's Goblin Raiders,8
Battering Ram,8
Detonate,8
Bog Imp,8
Llanowar Elves,7
Lure,7
Aladdin's Ring,7
Bottle of Suleiman,7
Dancing Scimitar,7
Desert Twister,7
Erg Raiders,7
Eye for an Eye,7
Flying Carpet,7
Crumble,7
Dragon Engine,7
Alabaster Potion,7
Durkwood Boars,7
Elven Riders,7
Badlands,6
Basalt Monolith,6
Bayou,6
Braingeyser,6
Clone,6
Contract from Below,6
Copy Artifact,6
Darkpact,6
Demonic Attorney,6
Demonic Hordes,6
Demonic Tutor,6
Earthbind,6
Farmstead,6
Fastbond,6
Fork,6
