,0
Earl of Squirrel,144
Forest,48
Island,46
Mountain,42
Plains,32
Swamp,32
Counterspell,21
Disenchant,21
Giant Growth,21
Dark Ritual,20
Circle of Protection: Red,18
Air Elemental,17
Bog Wraith,17
Fireball,17
Armageddon,16
Grizzly Bears,16
Healing Salve,16
Hurricane,16
Circle of Protection: Black,16
Giant Spider,15
Circle of Protection: Blue,14
Circle of Protection: Green,14
Circle of Protection: White,14
Fear,14
Goblin King,14
Hill Giant,14
Birds of Paradise,13
Disrupting Scepter,13
Drudge Skeletons,13
Earthquake,13
Elvish Archers,13
Flashfires,13
Flight,13
Fog,13
Jayemdae Tome,13
Bog Imp,13
Clockwork Beast,12
Crystal Rod,12
Dingus Egg,12
Drain Life,12
Firebreathing,12
Force of Nature,12
Glasses of Urza,12
Howling Mine,12
Llanowar Elves,12
Lure,12
Black Knight,11
Castle,11
Craw Wurm,11
Crusade,11
Cursed Land,11
Disintegrate,11
Feedback,11
Fire Elemental,11
Holy Strength,11
Howl from Beyond,11
Iron Star,11
Ivory Cup,11
Merfolk of the Pearl Trident,11
Aladdin's Ring,11
Animate Wall,10
Ankh of Mishra,10
Balance,10
Death Ward,10
Fungusaur,10
Goblin Balloon Brigade,10
Hypnotic Specter,10
Mahamoti Djinn,10
Mons's Goblin Raiders,10
Flying Carpet,10
Energy Flux,10
Boomerang,10
Gravedigger,10
Animate Dead,9
Aspect of Wolf,9
Bad Moon,9
Benalish Hero,9
Blue Elemental Blast,9
Burrowing,9
Cockatrice,9
Control Magic,9
Deathgrip,9
Drain Power,9
Dwarven Warriors,9
Earth Elemental,9
Evil Presence,9
Frozen Shade,9
Gloom,9
Ironclaw Orcs,9
Jade Monolith,9
Lightning Bolt,9
City of Brass,9
Dancing Scimitar,9
Detonate,9
Durkwood Boars,9
Elven Riders,9
Fallen Angel,9
Coercion,9
Lava Axe,9
Animate Artifact,8
Black Vise,8
Black Ward,8
Blessing,8
Blue Ward,8
Celestial Prism,8
Channel,8
Chaoslace,8
Clone,8
Conservator,8
Conversion,8
Creature Bond,8
Deathlace,8
Dragon Whelp,8
