,0
Earl of Squirrel,30
Dark Ritual,13
Forest,13
Island,13
Disenchant,12
Fireball,12
Mountain,12
Circle of Protection: Red,11
Counterspell,11
Healing Salve,11
Bog Wraith,10
Clockwork Beast,10
Cursed Land,10
Disintegrate,10
Elvish Archers,10
Feedback,10
Glasses of Urza,10
Grizzly Bears,10
Hill Giant,10
Jayemdae Tome,10
Circle of Protection: Black,10
Blue Elemental Blast,9
Circle of Protection: Blue,9
Circle of Protection: Green,9
Circle of Protection: White,9
Death Ward,9
Drain Life,9
Fear,9
Firebreathing,9
Fog,9
Giant Growth,9
Howl from Beyond,9
Hurricane,9
Ironclaw Orcs,9
Air Elemental,8
Animate Artifact,8
Animate Dead,8
Animate Wall,8
Ankh of Mishra,8
Armageddon,8
Aspect of Wolf,8
Bad Moon,8
Balance,8
Benalish Hero,8
Birds of Paradise,8
Black Knight,8
Black Vise,8
Black Ward,8
Blessing,8
Blue Ward,8
Burrowing,8
Castle,8
Celestial Prism,8
Channel,8
Chaoslace,8
Cockatrice,8
Conservator,8
Control Magic,8
Conversion,8
Craw Wurm,8
Creature Bond,8
Crusade,8
Crystal Rod,8
Deathgrip,8
Deathlace,8
Dingus Egg,8
Disrupting Scepter,8
Dragon Whelp,8
Drain Power,8
Drudge Skeletons,8
Dwarven Warriors,8
Earth Elemental,8
Earthquake,8
Evil Presence,8
Fire Elemental,8
Flashfires,8
Flight,8
Force of Nature,8
Frozen Shade,8
Fungusaur,8
Gaea's Liege,8
Giant Spider,8
Gloom,8
Goblin Balloon Brigade,8
Goblin King,8
Gray Ogre,8
Green Ward,8
Helm of Chatzuk,8
Holy Armor,8
Holy Strength,8
Howling Mine,8
Hurloon Minotaur,8
Hypnotic Specter,8
Instill Energy,8
Ironroot Treefolk,8
Iron Star,8
Island Sanctuary,8
Ivory Cup,8
Jade Monolith,8
Jump,8
Merfolk of the Pearl Trident,8
Mesa Pegasus,8
Mons's Goblin Raiders,8
Energy Flux,8
Lure,7
Battering Ram,7
Detonate,7
Badlands,6
Basalt Monolith,6
Bayou,6
Braingeyser,6
Clone,6
Contract from Below,6
Copy Artifact,6
Darkpact,6
Demonic Attorney,6
Demonic Hordes,6
Demonic Tutor,6
Earthbind,6
Farmstead,6
Fastbond,6
Fork,6
