,0
Earl of Squirrel,4
Mountain,4
Air Elemental,3
Ancestral Recall,3
Animate Artifact,3
Animate Dead,3
Animate Wall,3
Ankh of Mishra,3
Armageddon,3
Aspect of Wolf,3
Badlands,3
Bad Moon,3
Balance,3
Basalt Monolith,3
Bayou,3
Benalish Hero,3
Berserk,3
Birds of Paradise,3
Black Knight,3
Black Lotus,3
Black Vise,3
Black Ward,3
Blaze of Glory,3
Blessing,3
Blue Elemental Blast,3
Blue Ward,3
Bog Wraith,3
Braingeyser,3
Burrowing,3
Camouflage,3
Castle,3
Celestial Prism,3
Channel,3
Chaoslace,3
Chaos Orb,3
Circle of Protection: Blue,3
Circle of Protection: Green,3
Circle of Protection: Red,3
Circle of Protection: White,3
Clockwork Beast,3
Clone,3
Cockatrice,3
Consecrate Land,3
Conservator,3
Contract from Below,3
Control Magic,3
Conversion,3
Copper Tablet,3
Copy Artifact,3
Counterspell,3
Craw Wurm,3
Creature Bond,3
Crusade,3
Crystal Rod,3
Cursed Land,3
Cyclopean Tomb,3
Darkpact,3
Dark Ritual,3
Deathgrip,3
Deathlace,3
Death Ward,3
Demonic Attorney,3
Demonic Hordes,3
Demonic Tutor,3
Dingus Egg,3
Disenchant,3
Disintegrate,3
Disrupting Scepter,3
Dragon Whelp,3
Drain Life,3
Drain Power,3
Drudge Skeletons,3
Dwarven Demolition Team,3
Dwarven Warriors,3
Earthbind,3
Earth Elemental,3
Earthquake,3
Elvish Archers,3
Evil Presence,3
False Orders,3
Farmstead,3
Fastbond,3
Fear,3
Feedback,3
Fireball,3
Firebreathing,3
Fire Elemental,3
Flashfires,3
Flight,3
Fog,3
Forcefield,3
Force of Nature,3
Forest,3
Fork,3
Frozen Shade,3
Fungusaur,3
Gaea's Liege,3
Gauntlet of Might,3
Giant Growth,3
Giant Spider,3
Glasses of Urza,3
Gloom,3
Goblin Balloon Brigade,3
Goblin King,3
Granite Gargoyle,3
Gray Ogre,3
Green Ward,3
Grizzly Bears,3
Guardian Angel,3
Healing Salve,3
Helm of Chatzuk,3
Hill Giant,3
Holy Armor,3
Holy Strength,3
Howl from Beyond,3
Howling Mine,3
Hurloon Minotaur,3
Hurricane,3
Hypnotic Specter,3
Ice Storm,3
Icy Manipulator,3
Illusionary Mask,3
Instill Energy,3
Invisibility,3
Ironclaw Orcs,3
Ironroot Treefolk,3
Iron Star,3
Island,3
Island Sanctuary,3
Ivory Cup,3
Jade Monolith,3
Jade Statue,3
Jayemdae Tome,3
Juggernaut,3
Jump,3
Karma,3
Keldon Warlord,3
Kormus Bell,3
Kudzu,3
Lance,3
Ley Druid,3
Library of Leng,3
Lich,3
Lifeforce,3
Lifelace,3
Lifetap,3
Lightning Bolt,3
Living Artifact,3
Living Lands,3
Living Wall,3
Llanowar Elves,3
Lord of Atlantis,3
Lord of the Pit,3
Lure,3
Magical Hack,3
Mahamoti Djinn,3
Manabarbs,3
Mana Flare,3
Mana Short,3
Mana Vault,3
Meekstone,3
Merfolk of the Pearl Trident,3
Mesa Pegasus,3
Mind Twist,3
Mons's Goblin Raiders,3
Mox Emerald,3
Mox Jet,3
Mox Pearl,3
Mox Ruby,3
Mox Sapphire,3
Natural Selection,3
Nether Shadow,3
Nettling Imp,3
Nevinyrral's Disk,3
Circle of Protection: Black,2
Nightmare,1
Abu Ja'far,1
Aladdin,1
Aladdin's Lamp,1
Aladdin's Ring,1
Ali Baba,1
Ali from Cairo,1
Bazaar of Baghdad,1
Bird Maiden,1
Bottle of Suleiman,1
Brass Man,1
City in a Bottle,1
City of Brass,1
Cuombajj Witches,1
Cyclone,1
Dancing Scimitar,1
Dandân,1
Desert,1
Desert Twister,1
Diamond Valley,1
Drop of Honey,1
Ebony Horse,1
Elephant Graveyard,1
El-Hajjâj,1
Erg Raiders,1
Erhnam Djinn,1
Eye for an Eye,1
Fishliver Oil,1
Flying Carpet,1
Flying Men,1
Ghazbán Ogre,1
Giant Tortoise,1
Guardian Beast,1
Hasran Ogress,1
Hurr Jackal,1
Ifh-Bíff Efreet,1
Island Fish Jasconius,1
Island of Wak-Wak,1
Jandor's Ring,1
Jandor's Saddlebags,1
Jeweled Bird,1
Junún Efreet,1
Juzám Djinn,1
Khabál Ghoul,1
Kird Ape,1
Library of Alexandria,1
Magnetic Mountain,1
Metamorphosis,1
Mijae Djinn,1
Moorish Cavalry,1
Nafs Asp,1
Oasis,1
Old Man of the Sea,1
Oubliette,1
Piety,1
Repentant Blacksmith,1
Ring of Ma'rûf,1
Rukh Egg,1
Sandstorm,1
Serendib Djinn,1
Serendib Efreet,1
Sindbad,1
Singing Tree,1
Sorceress Queen,1
Unstable Mutation,1
War Elephant,1
Wyluli Wolf,1
Ydwen Efreet,1
