,0
Earl of Squirrel,226
Forest,68
Island,65
Mountain,61
Plains,50
Swamp,50
Giant Growth,28
Disenchant,26
Dark Ritual,24
Counterspell,23
Air Elemental,20
Bog Wraith,19
Fireball,19
Circle of Protection: Red,18
Armageddon,17
Giant Spider,17
Grizzly Bears,17
Healing Salve,17
Hurricane,17
Drudge Skeletons,16
Llanowar Elves,16
Circle of Protection: Black,16
Birds of Paradise,15
Fear,15
Goblin King,15
Hill Giant,15
Circle of Protection: Blue,14
Circle of Protection: Green,14
Circle of Protection: White,14
Earthquake,14
Firebreathing,14
Fog,14
Howling Mine,14
Jayemdae Tome,14
Gravedigger,14
Black Knight,13
Clockwork Beast,13
Craw Wurm,13
Disrupting Scepter,13
Elvish Archers,13
Flashfires,13
Flight,13
Holy Strength,13
Hypnotic Specter,13
Boomerang,13
Bog Imp,13
Crusade,12
Crystal Rod,12
Dingus Egg,12
Disintegrate,12
Drain Life,12
Force of Nature,12
Glasses of Urza,12
Lure,12
Lava Axe,12
Animate Wall,11
Ankh of Mishra,11
Bad Moon,11
Balance,11
Castle,11
Cursed Land,11
Death Ward,11
Dragon Whelp,11
Feedback,11
Fire Elemental,11
Howl from Beyond,11
Iron Star,11
Ivory Cup,11
Lightning Bolt,11
Merfolk of the Pearl Trident,11
Aladdin's Ring,11
Dark Banishing,11
Animate Dead,10
Benalish Hero,10
Clone,10
Cockatrice,10
Earth Elemental,10
Evil Presence,10
Fungusaur,10
Goblin Balloon Brigade,10
Ironclaw Orcs,10
Mahamoti Djinn,10
Mons's Goblin Raiders,10
Flying Carpet,10
Energy Flux,10
Elven Riders,10
Fallen Angel,10
Elvish Champion,10
Aspect of Wolf,9
Black Vise,9
Blue Elemental Blast,9
Burrowing,9
Channel,9
Control Magic,9
Deathgrip,9
Drain Power,9
Dwarven Warriors,9
Frozen Shade,9
Gaea's Liege,9
Gloom,9
Hurloon Minotaur,9
Icy Manipulator,9
Jade Monolith,9
Juggernaut,9
Jump,9
Lord of Atlantis,9
Mesa Pegasus,9
City of Brass,9
Dancing Scimitar,9
Desert Twister,9
Detonate,9
Dragon Engine,9
Durkwood Boars,9
Ball Lightning,9
Incinerate,9
Pacifism,9
Coercion,9
Blaze,9
Raging Goblin,9
Glorious Anthem,9
Animate Artifact,8
Badlands,8
Black Ward,8
Blessing,8
Blue Ward,8
Celestial Prism,8
Chaoslace,8
Conservator,8
Conversion,8
Creature Bond,8
Deathlace,8
Demonic Tutor,8
Gray Ogre,8
Green Ward,8
Helm of Chatzuk,8
Holy Armor,8
Instill Energy,8
Ironroot Treefolk,8
Island Sanctuary,8
Lord of the Pit,8
Bottle of Suleiman,8
Erg Raiders,8
Kird Ape,8
Battering Ram,8
Alabaster Potion,8
Gaseous Form,8
Abyssal Specter,8
Whirling Dervish,8
Terror,8
Stone Rain,8
Creeping Mold,8
Angel of Mercy,8
Bayou,7
Granite Gargoyle,7
Karma,7
Keldon Warlord,7
Ley Druid,7
Living Lands,7
Manabarbs,7
Mana Flare,7
Mana Short,7
Mind Twist,7
Nether Shadow,7
Erhnam Djinn,7
Eye for an Eye,7
Jandor's Saddlebags,7
Circle of Protection: Artifacts,7
Colossus of Sardia,7
Crumble,7
Grapeshot Catapult,7
Hurkyl's Recall,7
Ivory Tower,7
Jalum Tome,7
Blight,7
Divine Transformation,7
Giant Strength,7
Fellwar Stone,7
Goblin Digging Team,7
Inferno,7
Duress,7
Adarkar Wastes,7
Brainstorm,7
Brushland,7
Power Sink,7
Balduvian Horde,7
Angelic Blessing,7
Ardent Militia,7
Horned Turtle,7
Lightning Elemental,7
Coat of Arms,7
Fertile Ground,7
Diabolic Tutor,7
Basalt Monolith,6
Braingeyser,6
Contract from Below,6
Copy Artifact,6
Darkpact,6
Demonic Attorney,6
Demonic Hordes,6
Earthbind,6
Farmstead,6
Fastbond,6
Fork,6
Guardian Angel,6
Kormus Bell,6
Kudzu,6
Lance,6
Library of Leng,6
Lifeforce,6
Lifelace,6
Lifetap,6
Living Artifact,6
Living Wall,6
Magical Hack,6
Mana Vault,6
Meekstone,6
Nettling Imp,6
Aladdin's Lamp,6
Bird Maiden,6
Brass Man,6
Cuombajj Witches,6
Dandân,6
Ebony Horse,6
El-Hajjâj,6
Ghazbán Ogre,6
Giant Tortoise,6
Island Fish Jasconius,6
Amulet of Kroog,6
Armageddon Clock,6
Ashnod's Altar,6
Ashnod's Transmogrant,6
Atog,6
Clay Statue,6
Clockwork Avian,6
Coral Helm,6
Cursed Rack,6
Feldon's Cane,6
Azure Drake,6
Blood Lust,6
Carrion Ants,6
Crimson Manticore,6
D'Avenant Archer,6
Greed,6
Nicol Bolas,6
Pyrotechnics,6
Remove Soul,6
Angry Mob,6
Ashes to Ashes,6
Brothers of Fire,6
Carnivorous Plant,6
Flood,6
Fountain of Youth,6
Archangel,6
Deflection,6
Karplusan Forest,6
Nature's Lore,6
Untamed Wilds,6
Rampant Growth,6
Man-o'-War,6
Exhaustion,6
Giant Octopus,6
Bottle Gnomes,6
Mana Leak,6
Lone Wolf,6
Angelic Page,6
Corrupt,6
Looming Shade,6
Beast of Burden,6
Elvish Piper,6
Sakura-Tribe Elder,6
Soltari Priest,6
Enormous Baloth,6
Consume Spirit,6
Berserk,5
Nevinyrral's Disk,5
Abu Ja'far,5
Ali Baba,5
Fishliver Oil,5
Hurr Jackal,5
Sandstorm,5
Ashnod's Battle Gear,5
Bronze Tablet,5
Mishra's Factory,5
Strip Mine,5
Akron Legionnaire,5
Amrou Kithkin,5
Cat Warriors,5
Cosmic Horror,5
Craw Giant,5
Divine Offering,5
Elder Land Wurm,5
Eternal Warrior,5
Force Spike,5
Gauntlets of Chaos,5
Holy Day,5
Immolation,5
Juxtapose,5
Apprentice Wizard,5
Barl's Cage,5
Blood Moon,5
Bog Rats,5
Brainwash,5
Cave People,5
Dance of Many,5
Diabolic Machine,5
Fire Drake,5
Fissure,5
Ghost Ship,5
Goblin Hero,5
Mana Clash,5
Tormod's Crypt,5
Dwarven Ruins,5
Ebon Stronghold,5
Icatian Javelineers,5
Shivan Dragon,5
Shock,5
Balduvian Barbarians,5
Barbed Sextant,5
Blinking Spirit,5
Fyndhorn Elder,5
Goblin Mutant,5
Serrated Arrows,5
Guerrilla Tactics,5
Raise Dead,5
Scryb Sprites,5
Daring Apprentice,5
Feral Shadow,5
Infernal Contract,5
Spitting Earth,5
Hulking Cyclops,5
Infantry Veteran,5
Relentless Assault,5
Armored Pegasus,5
Breath of Life,5
Snapping Drake,5
Volcanic Hammer,5
Wood Elves,5
Canopy Spider,5
Furnace of Rath,5
Mogg Fanatic,5
Overrun,5
Evacuation,5
Grave Pact,5
Honor Guard,5
Shard Phoenix,5
Cruel Edict,5
Goblin Matron,5
Goblin Raider,5
Ravenous Rats,5
Arc Lightning,5
Blanchwood Armor,5
Confiscate,5
Elvish Lyrist,5
Hollow Dogs,5
Polluted Mire,5
Slippery Karst,5
Eager Cadet,5
Goblin Chariot,5
Dehydration,5
Hunted Wumpus,5
Slith Firewalker,5
Lord of the Undead,5
Demolish,5
Elvish Warrior,5
Festering Goblin,5
Angel's Feather,5
Demon's Horn,5
Cancel,5
Ancestral Recall,4
Consecrate Land,4
Copper Tablet,4
Dwarven Demolition Team,4
Forcefield,4
Ice Storm,4
Illusionary Mask,4
Invisibility,4
Jade Statue,4
Aladdin,4
Cyclone,4
Hasran Ogress,4
Jandor's Ring,4
Jeweled Bird,4
Magnetic Mountain,4
Metamorphosis,4
Mijae Djinn,4
Repentant Blacksmith,4
Sindbad,4
War Elephant,4
Argothian Pixies,4
Dwarven Weaponsmith,4
Goblin Artisans,4
Millstone,4
Mishra's War Machine,4
Obelisk of Undoing,4
Rakalite,4
Triskelion,4
Urza's Mine,4
Urza's Power Plant,4
Urza's Tower,4
Yawgmoth Demon,4
Yotian Soldier,4
Abomination,4
Active Volcano,4
Arcades Sabboth,4
Arena of the Ancients,4
Axelrod Gunnarson,4
Backfire,4
Black Mana Battery,4
Blue Mana Battery,4
Chromium,4
Concordant Crossroads,4
Cyclopean Mummy,4
Dakkon Blackblade,4
Enchantment Alteration,4
Energy Tap,4
Evil Eye of Orms-by-Gore,4
Flash Flood,4
Fortified Area,4
Gabriel Angelfire,4
Green Mana Battery,4
Hell's Caretaker,4
Ivory Guardians,4
Kei Takahashi,4
Land Tax,4
Lost Soul,4
Marhault Elsdragon,4
Mountain Yeti,4
Nebuchadnezzar,4
Palladia-Mors,4
Pendelhaven,4
Petra Sphinx,4
Rabid Wombat,4
Recall,4
Rubinia Soulsinger,4
Serpent Generator,4
Banshee,4
Elves of Deep Shadow,4
Erosion,4
Goblin Rock Sled,4
Goblins of the Flarg,4
Leviathan,4
Murk Dwellers,4
Safe Haven,4
Scavenger Folk,4
The Fallen,4
Witch Hunter,4
Breeding Pit,4
Derelor,4
Goblin Warrens,4
Havenwood Battleground,4
Ascendant Evincar,4
Diabolic Edict,4
Aurochs,4
Binding Grasp,4
Conquer,4
Elder Druid,4
Elkin Bottle,4
Flame Spirit,4
Giant Trap Door Spider,4
Glacial Wall,4
Jokulhaups,4
Kjeldoran Dead,4
Kjeldoran Royal Guard,4
Lhurgoyf,4
Necropotence,4
Twiddle,4
Vampire Bats,4
Aether Storm,4
Anaba Shaman,4
Dry Spell,4
Ihsan's Shade,4
Bounty of the Hunt,4
Browse,4
Deadly Insect,4
Death Spark,4
