,0
Earl of Squirrel,66
Forest,28
Island,26
Mountain,25
Disenchant,19
Dark Ritual,18
Plains,18
Counterspell,17
Swamp,16
Armageddon,14
Bog Wraith,14
Circle of Protection: Red,14
Fireball,14
Giant Growth,14
Healing Salve,14
Hurricane,14
Air Elemental,13
Grizzly Bears,13
Circle of Protection: Black,13
Circle of Protection: Blue,12
Circle of Protection: Green,12
Circle of Protection: White,12
Earthquake,12
Elvish Archers,12
Giant Spider,12
Glasses of Urza,12
Clockwork Beast,11
Crusade,11
Cursed Land,11
Disintegrate,11
Fear,11
Feedback,11
Firebreathing,11
Flashfires,11
Fog,11
Goblin King,11
Hill Giant,11
Jayemdae Tome,11
Animate Wall,10
Ankh of Mishra,10
Birds of Paradise,10
Black Knight,10
Castle,10
Crystal Rod,10
Death Ward,10
Dingus Egg,10
Disrupting Scepter,10
Drain Life,10
Drudge Skeletons,10
Fire Elemental,10
Flight,10
Howl from Beyond,10
Merfolk of the Pearl Trident,10
Energy Flux,10
Bog Imp,10
Animate Dead,9
Aspect of Wolf,9
Bad Moon,9
Benalish Hero,9
Blue Elemental Blast,9
Burrowing,9
Cockatrice,9
Control Magic,9
Craw Wurm,9
Deathgrip,9
Drain Power,9
Dwarven Warriors,9
Earth Elemental,9
Evil Presence,9
Force of Nature,9
Frozen Shade,9
Fungusaur,9
Gloom,9
Goblin Balloon Brigade,9
Howling Mine,9
Hypnotic Specter,9
Ironclaw Orcs,9
Iron Star,9
Ivory Cup,9
Jade Monolith,9
Mons's Goblin Raiders,9
Animate Artifact,8
Balance,8
Black Vise,8
Black Ward,8
Blessing,8
Blue Ward,8
Celestial Prism,8
Channel,8
Chaoslace,8
Conservator,8
Conversion,8
Creature Bond,8
Deathlace,8
Dragon Whelp,8
Gaea's Liege,8
Gray Ogre,8
Green Ward,8
Helm of Chatzuk,8
Holy Armor,8
Holy Strength,8
Hurloon Minotaur,8
Instill Energy,8
Ironroot Treefolk,8
Island Sanctuary,8
Jump,8
Lightning Bolt,8
Llanowar Elves,8
Lure,8
Mesa Pegasus,8
Aladdin's Ring,8
Bottle of Suleiman,8
Dancing Scimitar,8
Desert Twister,8
Flying Carpet,8
Battering Ram,8
Detonate,8
Dragon Engine,8
Durkwood Boars,8
Elven Riders,8
Living Lands,7
Lord of Atlantis,7
City of Brass,7
Erg Raiders,7
Eye for an Eye,7
Crumble,7
Alabaster Potion,7
Gaseous Form,7
Giant Strength,7
Badlands,6
Basalt Monolith,6
Bayou,6
Braingeyser,6
Clone,6
Contract from Below,6
Copy Artifact,6
Darkpact,6
Demonic Attorney,6
Demonic Hordes,6
Demonic Tutor,6
Earthbind,6
Farmstead,6
Fastbond,6
Fork,6
Granite Gargoyle,6
Guardian Angel,6
Juggernaut,6
Karma,6
Keldon Warlord,6
Kormus Bell,6
Kudzu,6
Lance,6
Ley Druid,6
Library of Leng,6
Lifeforce,6
Lifelace,6
Lifetap,6
Living Artifact,6
Living Wall,6
Lord of the Pit,6
Magical Hack,6
Mahamoti Djinn,6
Manabarbs,6
Mana Flare,6
Mana Short,6
Mana Vault,6
Meekstone,6
Mind Twist,6
Nether Shadow,6
Nettling Imp,6
Aladdin's Lamp,6
Bird Maiden,6
Brass Man,6
Ebony Horse,6
El-Hajjâj,6
Island Fish Jasconius,6
Jandor's Saddlebags,6
Amulet of Kroog,6
Armageddon Clock,6
Ashnod's Altar,6
